97	0.01	0.97	1.687395964	1.781697462	1.583999306	
98	0.01	0.98	1.654597769	1.757748027	1.57393219	
99	0.01	0.99	1.621568658	1.733447049	1.563550294	
100	0.01	1	1.588315237	1.708799388	1.552855692	
101	0.01	1.01	1.554844156	1.683809972	1.541850525	
102	0.01	1.02	1.52116211	1.6584838	1.530536993	
103	0.01	1.03	1.487275835	1.632825936	1.518917358	
104	0.01	1.04	1.453192109	1.606841513	1.506993945	
105	0.01	1.05	1.418917746	1.580535727	1.494769138	
106	0.01	1.06	1.384459604	1.553913839	1.482245383	
107	0.01	1.07	1.349824572	1.526981173	1.469425183	
108	0.01	1.08	1.315019579	1.499743117	1.456311103	
109	0.01	1.09	1.280051584	1.472205116	1.442905766	
110	0.01	1.1	1.244927582	1.44437268	1.429211852	
111	0.01	1.11	1.209654596	1.416251374	1.415232101	
112	0.01	1.12	1.174239682	1.387846822	1.400969308	
113	0.01	1.13	1.138689922	1.359164705	1.386426326	
114	0.01	1.14	1.103012427	1.33021076	1.371606063	
115	0.01	1.15	1.067214331	1.300990778	1.356511483	
116	0.01	1.16	1.031302794	1.271510601	1.341145606	
117	0.01	1.17	0.9952849977	1.241776127	1.325511504	
118	0.01	1.18	0.9591681465	1.211793302	1.309612305	
119	0.01	1.19	0.9229594632	1.181568122	1.293451187	
120	0.01	1.2	0.8866661894	1.151106632	1.277031383	
121	0.01	1.21	0.8502955837	1.120414925	1.260356177	
122	0.01	1.22	0.81385492	1.089499138	1.243428904	
123	0.01	1.23	0.7773514864	1.058365456	1.22625295	
124	0.01	1.24	0.7407925834	1.027020103	1.208831749	
125	0.01	1.25	0.7041855227	0.9954693507	1.191168786	
126	0.01	1.26	0.6675376255	0.9637195073	1.173267593	
127	0.01	1.27	0.6308562214	0.9317769233	1.15513175	
128	0.01	1.28	0.5941486465	0.899647987	1.136764885	
129	0.01	1.29	0.5574222422	0.8673391241	1.118170671	
130	0.01	1.3	0.5206843537	0.8348567962	1.099352826	
131	0.01	1.31	0.4839423283	0.8022074998	1.080315114	
132	0.01	1.32	0.4472035144	0.7693977645	1.061061343	
133	0.01	1.33	0.4104752596	0.7364341523	1.041595363	
134	0.01	1.34	0.3737649095	0.7033232557	1.021921068	
135	0.01	1.35	0.3370798059	0.6700716967	1.002042392	
136	0.01	1.36	0.3004272859	0.6366861257	0.9819633103	
137	0.01	1.37	0.2638146798	0.6031732196	0.9616878396	
138	0.01	1.38	0.2272493099	0.5695396808	0.9412200345	
